Target,FeatureSet,Model,R2_5fold,R2_LOO,R2_LOBO
HV,S1,BayesianRidge,-0.1107,0.2453,-0.1275
HV,S1,DecisionTree,-0.159,0.0021,-0.2667
HV,S1,GPR,0.059,0.2392,-0.1456
HV,S1,LinearRegression,-0.1486,0.2317,-0.176
HV,S1,NNR,-0.3148,0.2326,-0.1699
HV,S1,RandomForest,0.1557,0.3086,0.0062
HV,S1,SVR,-2.8282,-0.5543,-8.8926
HV,S1,XGBoost,-0.2058,0.0112,-0.2016
HV,S2,BayesianRidge,-0.1921,0.1988,-0.5466
HV,S2,DecisionTree,-0.1462,0.2006,-0.6754
HV,S2,GPR,-0.0337,0.3374,-0.6603
HV,S2,LinearRegression,-0.3838,0.1393,-0.8582
HV,S2,NNR,0.1111,0.4222,-0.8722
HV,S2,RandomForest,-0.1471,0.2762,-0.8401
HV,S2,SVR,-0.2029,-0.0721,-0.8531
HV,S2,XGBoost,-0.0646,0.4046,-0.9117
HV,S3,BayesianRidge,-0.0755,0.2539,-0.7547
HV,S3,DecisionTree,-0.1374,-0.0066,-0.7715
HV,S3,GPR,0.0794,0.286,-0.6382
HV,S3,LinearRegression,-0.1717,0.2291,-1.0514
HV,S3,NNR,0.3642,0.3631,-0.8288
HV,S3,RandomForest,-0.1505,0.269,-0.9486
HV,S3,SVR,-2.2048,-0.0878,-0.973
HV,S3,XGBoost,-0.1802,0.3669,-1.0024
HV,S4,BayesianRidge,-0.222,0.225,-0.832
HV,S4,DecisionTree,-0.239,0.0339,-1.2037
HV,S4,GPR,-0.0317,0.1986,-0.9236
HV,S4,LinearRegression,-0.3643,0.1765,-1.2406
HV,S4,NNR,-0.133,0.1936,-1.3928
HV,S4,RandomForest,-0.2014,0.2801,-1.0393
HV,S4,SVR,-0.0996,-0.1632,-1.5429
HV,S4,XGBoost,-0.1397,0.2837,-1.2566
YS,S1,BayesianRidge,0.4091,0.4473,0.3874
YS,S1,DecisionTree,0.3313,0.2749,0.3989
YS,S1,GPR,0.3233,0.3114,0.1538
YS,S1,LinearRegression,0.412,0.4512,0.3936
YS,S1,NNR,-0.8666,-1.6086,0.3215
YS,S1,RandomForest,0.3275,0.2736,0.3193
YS,S1,SVR,0.1842,0.2173,0.1919
YS,S1,XGBoost,0.2188,0.2195,0.2232
YS,S2,BayesianRidge,0.6851,0.6657,0.6131
YS,S2,DecisionTree,0.459,0.4823,0.4963
YS,S2,GPR,0.612,0.6166,0.477
YS,S2,LinearRegression,0.6882,0.6716,0.5816
YS,S2,NNR,0.6606,0.65,0.5681
YS,S2,RandomForest,0.5882,0.563,0.4984
YS,S2,SVR,0.3253,0.5671,0.2932
YS,S2,XGBoost,0.5642,0.5609,0.5272
YS,S3,BayesianRidge,0.6521,0.62,0.563
YS,S3,DecisionTree,0.4297,0.4589,0.4562
YS,S3,GPR,0.5779,0.5337,0.5334
YS,S3,LinearRegression,0.6493,0.6216,0.4917
YS,S3,NNR,0.626,0.5632,0.5297
YS,S3,RandomForest,0.5624,0.5473,0.5109
YS,S3,SVR,0.3642,0.4603,0.2676
YS,S3,XGBoost,0.5711,0.532,0.4568
YS,S4,BayesianRidge,0.6647,0.6122,0.5747
YS,S4,DecisionTree,0.4811,0.4368,0.4198
YS,S4,GPR,0.5824,0.545,0.5087
YS,S4,LinearRegression,0.5613,0.5314,0.347
YS,S4,NNR,0.6868,0.5185,0.4271
YS,S4,RandomForest,0.5541,0.5539,0.5337
YS,S4,SVR,0.6096,0.5089,0.0707
YS,S4,XGBoost,0.5958,0.4926,0.484
